,open,high,low,close,adjclose,volume,ticker
2000-03-02,138.6875,139.125,137.34375,138.53125,88.58845520019531,7600200,SPY
2000-03-03,140.4375,141.71875,139.71875,141.125,90.24713134765625,12770300,SPY
2000-03-06,140.8125,141.34375,138.75,139.75,89.3678207397461,11967100,SPY
2000-03-07,140.0,140.15625,135.21875,137.046875,87.63921356201172,20062000,SPY
2000-03-08,136.46875,137.84375,135.03125,136.875,87.52933502197266,11808500,SPY
2000-03-09,137.25,140.875,136.125,140.875,90.0872802734375,5500900,SPY
2000-03-10,140.1875,142.0,139.53125,140.125,89.60760498046875,7924600,SPY
2000-03-13,136.6875,140.46875,135.6875,138.59375,88.62840270996094,10540500,SPY
2000-03-14,139.28125,140.09375,136.15625,136.625,87.36946105957031,8263900,SPY
2000-03-15,136.875,140.4375,136.0625,139.8125,89.4078140258789,10300800,SPY
2000-03-16,141.625,146.84375,140.875,146.34375,93.58442687988281,25601400,SPY
2000-03-17,145.8125,148.0,145.4375,146.9375,94.20293426513672,10272900,SPY
2000-03-20,146.875,147.34375,144.78125,146.1875,93.72210693359375,12502300,SPY
2000-03-21,145.53125,149.75,144.5,149.1875,95.64543914794922,13612600,SPY
2000-03-22,149.5625,150.84375,148.6875,150.09375,96.22647094726562,8260000,SPY
2000-03-23,149.15625,153.46875,149.15625,152.65625,97.86930084228516,11654500,SPY
2000-03-24,152.875,155.75,151.71875,153.5625,98.45027160644531,11462900,SPY
2000-03-27,153.375,153.78125,151.8125,151.9375,97.40850067138672,8798600,SPY
2000-03-28,151.25,152.984375,150.59375,151.0625,96.84751892089844,6334400,SPY
2000-03-29,151.5625,152.484375,149.65625,151.21875,96.94772338867188,6747500,SPY
2000-03-30,150.15625,151.921875,147.125,148.6875,95.32487487792969,9491900,SPY
2000-03-31,149.625,152.3125,148.4375,150.375,96.40674591064453,9249100,SPY
2000-04-03,150.125,151.25,148.6875,151.25,96.96771240234375,8508200,SPY
2000-04-04,151.75,153.0,141.390625,150.125,96.24650573730469,19585500,SPY
2000-04-05,147.875,150.8125,147.625,149.1875,95.64543914794922,8387200,SPY
2000-04-06,150.25,151.6875,149.0,150.484375,96.47684478759766,6378500,SPY
2000-04-07,151.5625,152.125,150.5,151.4375,97.08794403076172,6023600,SPY
2000-04-10,151.75,153.109375,150.3125,150.84375,96.70726013183594,9624200,SPY
2000-04-11,150.0,151.625,148.375,150.40625,96.42675018310547,9006400,SPY
2000-04-12,150.375,151.15625,146.15625,146.28125,93.7822036743164,10779200,SPY
2000-04-13,147.46875,148.15625,143.78125,144.25,92.47994232177734,12225800,SPY
2000-04-14,142.625,142.8125,133.5,136.0,87.19078826904297,29604000,SPY
2000-04-17,135.1875,140.75,134.6875,140.75,90.23606872558594,23918200,SPY
2000-04-18,140.5625,144.46875,139.78125,144.46875,92.62023162841797,11069200,SPY
2000-04-19,144.5,145.125,142.53125,143.125,91.75865936279297,6553700,SPY
2000-04-20,143.5625,143.9375,142.375,143.8125,92.19950103759766,8537600,SPY
2000-04-24,141.5,143.3125,140.5,142.25,91.19774627685547,12893100,SPY
2000-04-25,144.625,148.15625,144.4375,148.15625,94.98426818847656,14102000,SPY
2000-04-26,147.96875,148.75,146.0,146.484375,93.91242218017578,7711100,SPY
2000-04-27,143.0,147.34375,143.0,146.0,93.60189056396484,15595300,SPY
2000-04-28,147.0,147.859375,145.0625,145.09375,93.02086639404297,8743400,SPY
2000-05-01,146.5625,148.484375,145.84375,147.0625,94.28309631347656,7328300,SPY
2000-05-02,145.5,147.125,144.125,144.125,92.39984130859375,9411900,SPY
2000-05-03,144.0,144.0,139.78125,140.75,90.23606872558594,12630700,SPY
2000-05-04,142.0,142.359375,140.75,141.8125,90.91724395751953,5963600,SPY
2000-05-05,141.0625,144.0,140.9375,143.53125,92.0191650390625,7862400,SPY
2000-05-08,142.75,143.375,141.84375,142.453125,91.32795715332031,5064100,SPY
2000-05-09,143.0625,143.40625,140.265625,141.3125,90.59672546386719,5620300,SPY
2000-05-10,140.5,140.96875,137.75,138.125,88.5531997680664,10293900,SPY
2000-05-11,140.125,141.5,139.125,141.28125,90.57669067382812,7091100,SPY
2000-05-12,141.8125,143.46875,141.625,142.8125,91.5583724975586,5960800,SPY
2000-05-15,142.75,145.609375,142.0,145.28125,93.14111328125,4441300,SPY
2000-05-16,146.5625,147.71875,145.3125,146.6875,94.04266357421875,8192200,SPY
2000-05-17,145.6875,146.1875,144.46875,145.15625,93.06098937988281,5907200,SPY
2000-05-18,145.625,146.3125,143.375,143.375,91.91897583007812,4325600,SPY
2000-05-19,142.5625,143.234375,140.40625,141.125,90.47650146484375,6518400,SPY
2000-05-22,141.25,141.46875,137.0,140.0625,89.79534912109375,10839400,SPY
2000-05-23,140.4375,140.8125,137.5625,138.0,88.4729995727539,7979200,SPY
2000-05-24,138.0,140.6875,136.5,140.25,89.91556549072266,11081500,SPY
2000-05-25,140.6875,141.8125,137.71875,137.84375,88.37284851074219,8278900,SPY
2000-05-26,138.8125,139.6875,137.328125,138.0,88.4729995727539,4814000,SPY
2000-05-30,140.0,142.9375,139.46875,142.5,91.3580093383789,5362700,SPY
2000-05-31,142.5625,144.0,142.09375,142.8125,91.5583724975586,6056500,SPY
2000-06-01,143.6875,145.4375,143.0,145.3125,93.16117858886719,8961600,SPY
2000-06-02,148.9375,149.09375,147.484375,147.84375,94.78396606445312,8962200,SPY
2000-06-05,147.46875,148.21875,146.875,147.125,94.32316589355469,6998100,SPY
2000-06-06,146.625,147.78125,145.90625,146.46875,93.90243530273438,4858900,SPY
2000-06-07,146.625,148.0,146.0,147.484375,94.55358123779297,4919500,SPY
2000-06-08,147.5,147.75,146.0625,146.90625,94.18291473388672,5723100,SPY
2000-06-09,147.5,147.96875,145.625,146.59375,93.98258209228516,3085300,SPY
2000-06-12,146.96875,146.96875,144.875,144.875,92.88065338134766,3678900,SPY
2000-06-13,144.8125,147.75,144.625,147.59375,94.62368774414062,6558700,SPY
2000-06-14,148.25,148.875,147.1875,147.84375,94.78396606445312,6420500,SPY
2000-06-15,148.125,148.75,146.84375,148.15625,94.98426818847656,5881200,SPY
2000-06-16,148.3125,148.3125,145.875,146.59375,94.2038345336914,5567900,SPY
2000-06-19,146.46875,149.15625,146.25,148.46875,95.40873718261719,5106900,SPY
2000-06-20,148.1875,148.875,147.0,147.9375,95.06732177734375,6480000,SPY
2000-06-21,146.9375,148.4375,146.890625,147.875,95.02718353271484,3115000,SPY
2000-06-22,147.5625,147.6875,145.0,145.625,93.58134460449219,7490500,SPY
2000-06-23,145.8125,146.125,143.875,144.375,92.77803039550781,4863300,SPY
2000-06-26,145.375,146.25,144.875,146.234375,93.972900390625,5201300,SPY
2000-06-27,145.984375,146.71875,145.015625,145.15625,93.28009033203125,4159500,SPY
2000-06-28,145.625,146.984375,145.3125,145.5625,93.5411148071289,5347700,SPY
2000-06-29,144.75,145.75,143.515625,144.1875,92.65752410888672,6345700,SPY
2000-06-30,143.9375,145.59375,143.890625,145.28125,93.36042022705078,7420200,SPY
2000-07-03,145.4375,147.4375,145.1875,147.28125,94.64564514160156,1436600,SPY
2000-07-05,146.375,146.65625,144.375,144.625,92.93867492675781,2748200,SPY
2000-07-06,144.9375,146.46875,144.21875,145.75,93.66160583496094,5963200,SPY
2000-07-07,146.6875,148.78125,146.25,148.09375,95.16781616210938,3034800,SPY
2000-07-10,147.875,148.90625,147.53125,147.84375,95.00711822509766,2816100,SPY
2000-07-11,147.46875,149.125,147.15625,148.15625,95.20789337158203,5431600,SPY
2000-07-12,149.28125,150.125,148.6875,149.125,95.83048248291016,5883000,SPY
2000-07-13,149.984375,150.375,149.1875,149.78125,96.25216674804688,5356000,SPY
2000-07-14,150.4375,151.25,149.671875,151.25,97.19601440429688,5341900,SPY
2000-07-17,150.984375,151.984375,150.6875,151.0,97.03538513183594,4208300,SPY
2000-07-18,150.625,150.625,149.34375,149.765625,96.24213409423828,4262100,SPY
2000-07-19,149.46875,149.90625,148.25,148.5625,95.4690170288086,8506800,SPY
2000-07-20,149.0,150.625,148.8125,150.625,96.79444885253906,4538900,SPY
2000-07-21,149.75,149.75,147.6875,147.6875,94.90670776367188,5656900,SPY
2000-07-24,148.125,148.859375,146.5625,146.84375,94.36449432373047,5628500,SPY
2000-07-25,147.75,147.84375,146.78125,147.3125,94.66571044921875,4757100,SPY
2000-07-26,146.96875,147.15625,145.640625,145.875,93.7419662475586,12062500,SPY
2000-07-27,145.9375,146.625,144.6875,145.375,93.42064666748047,7652600,SPY
2000-07-28,145.71875,145.90625,141.515625,142.09375,91.31206512451172,6229500,SPY
2000-07-31,142.9375,144.125,142.0625,143.0,91.89442443847656,5265500,SPY
2000-08-01,143.625,144.71875,143.125,143.875,92.45672607421875,3946600,SPY
2000-08-02,143.875,145.40625,143.625,144.59375,92.91859436035156,7439800,SPY
2000-08-03,142.875,145.8125,142.625,145.59375,93.56118774414062,4607100,SPY
2000-08-04,146.3125,146.71875,145.40625,146.375,94.0632553100586,3686600,SPY
2000-08-07,146.71875,148.4375,146.375,148.125,95.18782043457031,4159800,SPY
2000-08-08,147.5,148.8125,147.5,148.6875,95.54928588867188,3658700,SPY
2000-08-09,149.140625,149.21875,147.375,147.4375,94.74604797363281,5383800,SPY
2000-08-10,147.53125,147.859375,146.28125,146.71875,94.28416442871094,4193400,SPY
2000-08-11,146.625,148.0,145.5625,147.40625,94.72596740722656,5089400,SPY
2000-08-14,147.78125,149.5625,147.0625,149.28125,95.93087768554688,2966700,SPY
2000-08-15,149.34375,149.8125,148.5625,149.15625,95.85054779052734,5564600,SPY
2000-08-16,149.3125,149.9375,147.84375,148.625,95.50916290283203,5191600,SPY
2000-08-17,148.6875,150.4375,148.34375,150.1875,96.51323699951172,5652200,SPY
2000-08-18,150.375,150.375,149.21875,149.6875,96.19195556640625,4626400,SPY
2000-08-21,150.03125,150.71875,149.40625,150.5,96.71405029296875,2380600,SPY
2000-08-22,150.5625,151.3125,150.09375,150.25,96.55338287353516,3075300,SPY
2000-08-23,149.8125,151.28125,149.28125,150.84375,96.9349594116211,5483200,SPY
2000-08-24,151.15625,151.5,150.5,151.3125,97.23615264892578,4529000,SPY
2000-08-25,151.15625,151.625,150.9375,151.25,97.19601440429688,2822200,SPY
2000-08-28,151.25,152.90625,151.25,151.765625,97.52735900878906,5518700,SPY
2000-08-29,151.4375,151.875,150.90625,151.796875,97.5474853515625,3561900,SPY
2000-08-30,151.3125,151.5,150.34375,150.34375,96.6136245727539,3964800,SPY
2000-08-31,151.0625,153.09375,150.90625,152.34375,97.89888000488281,4863100,SPY
2000-09-01,153.25,153.59375,152.0,152.5,97.99930572509766,3191200,SPY
2000-09-05,151.875,152.203125,150.8125,151.28125,97.216064453125,3470800,SPY
2000-09-06,151.1875,151.953125,149.53125,149.5625,96.11165618896484,4322200,SPY
2000-09-07,150.25,151.078125,149.828125,150.84375,96.9349594116211,4265500,SPY
2000-09-08,150.28125,150.5,149.328125,149.8125,96.27227020263672,3518200,SPY
2000-09-11,149.75,151.1875,148.6875,149.59375,96.13170623779297,3937500,SPY
2000-09-12,149.75,150.25,148.4375,148.5,95.42884063720703,4769100,SPY
2000-09-13,148.0,149.34375,147.65625,148.890625,95.67989349365234,7691600,SPY
2000-09-14,149.875,149.9375,148.15625,149.640625,96.16181182861328,3397100,SPY
2000-09-15,148.1875,148.25,146.0,146.0,94.0580062866211,4085700,SPY
2000-09-18,146.375,146.96875,144.203125,144.65625,93.19232177734375,5109300,SPY
2000-09-19,145.125,146.3125,144.703125,145.96875,94.03792572021484,6588200,SPY
2000-09-20,145.6875,146.03125,143.15625,144.890625,93.34329223632812,6508100,SPY
2000-09-21,144.46875,145.5625,142.625,142.6875,91.92396545410156,5972300,SPY
2000-09-22,142.625,145.3125,142.421875,145.28125,93.59495544433594,7791300,SPY
2000-09-25,145.9375,146.0625,143.71875,144.25,92.9306411743164,9726300,SPY
2000-09-26,144.375,145.0,142.40625,142.40625,91.7427749633789,5302400,SPY
2000-09-27,143.5625,143.96875,142.125,143.15625,92.22601318359375,7186200,SPY
2000-09-28,143.1875,146.328125,142.890625,145.0,93.41373443603516,7036400,SPY
2000-09-29,145.46875,145.96875,143.625,143.625,92.5279312133789,9333600,SPY
2000-10-02,144.28125,144.90625,143.140625,143.84375,92.66885375976562,5517800,SPY
2000-10-03,144.53125,145.75,142.28125,142.5,91.80316925048828,9347200,SPY
2000-10-04,142.875,144.25,141.75,143.6875,92.56822967529297,6148900,SPY
2000-10-05,143.40625,144.84375,143.3125,144.1875,92.89032745361328,4566900,SPY
2000-10-06,143.875,144.640625,139.75,141.0625,90.8770751953125,10014900,SPY
2000-10-09,141.3125,141.3125,139.375,140.0,90.19256591796875,4508000,SPY
2000-10-10,140.09375,141.25,137.6875,137.6875,88.70281219482422,6104700,SPY
2000-10-11,137.625,138.625,135.125,136.53125,87.95793151855469,10346000,SPY
2000-10-12,137.28125,137.59375,132.78125,133.125,85.76348876953125,12336900,SPY
2000-10-13,132.9375,137.65625,132.875,137.5625,88.62230682373047,11778800,SPY
2000-10-16,137.40625,138.234375,136.6875,138.1875,89.02490997314453,5659000,SPY
2000-10-17,138.4375,138.5625,134.40625,134.75,86.81036376953125,7831700,SPY
2000-10-18,132.625,136.125,130.15625,134.25,86.48827362060547,10897300,SPY
2000-10-19,136.84375,139.453125,136.4375,139.3125,89.74970245361328,8767300,SPY
2000-10-20,138.375,141.1875,138.375,139.90625,90.1322021484375,7373500,SPY
2000-10-23,139.9375,141.03125,138.9375,140.53125,90.53483581542969,5290000,SPY
2000-10-24,140.96875,141.9375,139.0,139.59375,89.93089294433594,5750700,SPY
2000-10-25,138.75,139.5625,136.125,136.3125,87.8169937133789,9137600,SPY
2000-10-26,137.125,137.65625,134.03125,136.6875,88.05858612060547,9345800,SPY
2000-10-27,137.875,139.28125,136.625,139.28125,89.72957611083984,9762900,SPY
2000-10-30,138.4375,141.09375,138.15625,140.53125,90.53483581542969,10154100,SPY
2000-10-31,141.015625,143.6875,140.0625,142.953125,92.09512329101562,7752400,SPY
2000-11-01,142.25,143.25,141.21875,142.46875,91.78303527832031,6753600,SPY
2000-11-02,143.15625,143.90625,142.515625,142.703125,91.93404388427734,11395100,SPY
2000-11-03,143.46875,143.75,142.375,142.78125,91.98438262939453,5187100,SPY
2000-11-06,143.15625,144.296875,143.03125,143.78125,92.62857055664062,4042500,SPY
2000-11-07,143.140625,144.0,142.5625,143.75,92.60848999023438,5231300,SPY
2000-11-08,144.0625,144.0625,140.5625,140.5625,90.55500030517578,6123300,SPY
2000-11-09,140.0,141.21875,137.25,140.03125,90.21273040771484,10635300,SPY
2000-11-10,139.0,139.46875,136.53125,136.625,88.01834869384766,8569500,SPY
2000-11-13,135.625,136.984375,133.015625,135.5625,87.33380889892578,17285300,SPY
2000-11-14,137.46875,139.625,137.0,139.125,89.6288833618164,7668900,SPY
2000-11-15,139.0625,140.109375,137.75,139.5625,89.9107666015625,8837700,SPY
2000-11-16,138.578125,139.875,137.3125,137.375,88.50151062011719,6684100,SPY
2000-11-17,137.3125,139.0,135.75,136.640625,88.02838897705078,6551100,SPY
2000-11-20,135.75,136.375,134.3125,134.6875,86.77005767822266,5458500,SPY
2000-11-21,134.875,136.1875,133.515625,135.375,87.21298217773438,7684300,SPY
2000-11-22,134.34375,134.875,132.125,132.140625,85.12934112548828,5736900,SPY
2000-11-24,133.625,134.96875,133.625,134.84375,86.87078857421875,3411600,SPY
2000-11-27,136.46875,136.6875,135.3125,136.03125,87.63580322265625,5992000,SPY
2000-11-28,135.125,136.59375,133.640625,133.6875,86.12586212158203,5336100,SPY
2000-11-29,134.375,135.90625,133.265625,133.4375,85.96484375,6914100,SPY
2000-11-30,132.5,133.5,129.75,132.28125,85.2199478149414,11201600,SPY
2000-12-01,133.1875,134.0625,131.0,132.21875,85.17964172363281,7587200,SPY
2000-12-04,131.875,133.875,131.5,133.34375,85.90442657470703,6996600,SPY
2000-12-05,134.875,138.25,134.40625,137.71875,88.72291564941406,8883400,SPY
2000-12-06,137.78125,138.34375,135.03125,135.515625,87.3036117553711,12888000,SPY
2000-12-07,134.875,135.875,133.65625,133.65625,86.10578155517578,6529100,SPY
2000-12-08,137.0625,139.46875,133.875,133.96875,86.30709838867188,10276300,SPY
2000-12-11,137.375,139.5625,136.71875,138.625,89.3067626953125,6405600,SPY
2000-12-12,138.1875,138.8125,137.375,138.03125,88.92430877685547,5022900,SPY
2000-12-13,139.25,139.40625,136.03125,136.140625,87.70625305175781,6070500,SPY
2000-12-14,135.875,136.5,134.03125,134.40625,86.58891296386719,7678400,SPY
2000-12-15,133.125,133.125,130.5625,130.96875,84.6331787109375,9065300,SPY
2000-12-18,132.0625,133.46875,131.765625,132.71875,85.76402282714844,7235400,SPY
2000-12-19,132.46875,134.96875,130.015625,130.015625,84.01727294921875,9616600,SPY
2000-12-20,128.625,128.9375,126.09375,126.25,81.58390045166016,9994300,SPY
2000-12-21,126.0,128.859375,125.53125,127.125,82.14933776855469,14331500,SPY
2000-12-22,129.0,131.109375,128.84375,130.9375,84.61296081542969,10182900,SPY
2000-12-26,130.84375,132.34375,130.28125,132.34375,85.52167510986328,4665300,SPY
2000-12-27,131.75,133.734375,131.25,133.3125,86.14773559570312,4854100,SPY
2000-12-28,132.8125,133.875,132.59375,133.71875,86.41024780273438,8358700,SPY
2000-12-29,134.0625,134.28125,131.1875,131.1875,84.77456665039062,8774600,SPY
2001-01-02,132.0,132.15625,127.5625,128.8125,83.23976135253906,8737500,SPY
2001-01-03,128.3125,136.0,127.65625,135.0,87.2381591796875,19431600,SPY
2001-01-04,134.9375,135.46875,133.0,133.546875,86.29914855957031,9219000,SPY
2001-01-05,133.46875,133.625,129.1875,129.1875,83.48213195800781,12911400,SPY
2001-01-08,129.875,130.1875,127.6875,130.1875,84.12834167480469,6625300,SPY
2001-01-09,131.046875,131.5,129.421875,129.84375,83.90618896484375,5702400,SPY
2001-01-10,129.0,132.125,128.8125,132.125,85.38034057617188,8746100,SPY
2001-01-11,131.09375,133.484375,131.09375,132.25,85.46113586425781,7245100,SPY
2001-01-12,132.6875,133.71875,131.28125,132.0,85.29955291748047,7244000,SPY
2001-01-16,132.0,133.1875,131.515625,132.84375,85.84483337402344,8542200,SPY
2001-01-17,134.84375,135.046875,132.640625,133.453125,86.23860931396484,7851400,SPY
2001-01-18,133.4375,135.703125,132.9375,134.78125,87.0968246459961,8107000,SPY
2001-01-19,136.1875,136.1875,133.875,134.015625,86.60212707519531,7782500,SPY
2001-01-22,134.25,135.78125,133.5625,134.90625,87.17760467529297,7050900,SPY
2001-01-23,134.46875,136.65625,134.15625,135.96875,87.86422729492188,8463100,SPY
2001-01-24,136.25,137.3125,135.84375,136.375,88.12675476074219,6199900,SPY
2001-01-25,136.25,137.25,135.65625,136.03125,87.90459442138672,10818300,SPY
2001-01-26,135.15625,136.125,134.453125,135.875,87.80366516113281,7136800,SPY
2001-01-29,135.5,136.89999389648438,135.3699951171875,136.60000610351562,88.27215576171875,6705900,SPY
2001-01-30,136.3000030517578,137.9199981689453,135.7899932861328,137.8000030517578,89.0475845336914,7069100,SPY
2001-01-31,137.39999389648438,138.6999969482422,136.60000610351562,137.02000427246094,88.54352569580078,9706900,SPY
2001-02-01,137.10000610351562,137.9499969482422,136.25,137.92999267578125,89.1315689086914,8239100,SPY
2001-02-02,137.39999389648438,137.99000549316406,134.75,134.8000030517578,87.10897827148438,8276600,SPY
2001-02-05,134.8000030517578,135.94000244140625,134.75,135.7899932861328,87.74871063232422,4352900,SPY
2001-02-06,135.3000030517578,136.6999969482422,135.22000122070312,135.38999938964844,87.490234375,7106700,SPY
2001-02-07,134.72000122070312,135.39999389648438,133.67999267578125,134.69000244140625,87.03789520263672,5748700,SPY
2001-02-08,134.8000030517578,135.39999389648438,133.10000610351562,133.1199951171875,86.02333068847656,5943300,SPY
2001-02-09,133.35000610351562,133.35000610351562,131.25999450683594,131.83999633789062,85.19615173339844,9913000,SPY
2001-02-12,131.6999969482422,133.5,131.6999969482422,133.35000610351562,86.1719741821289,5804400,SPY
2001-02-13,133.6999969482422,134.1699981689453,132.0,132.25999450683594,85.46756744384766,6587600,SPY
2001-02-14,132.64999389648438,132.64999389648438,130.66000366210938,132.05999755859375,85.33832550048828,8400100,SPY
2001-02-15,132.83999633789062,133.52000427246094,131.99000549316406,133.33999633789062,86.16551208496094,5929800,SPY
2001-02-16,131.0,131.2899932861328,129.3000030517578,130.39999389648438,84.26559448242188,6434900,SPY
2001-02-20,131.0399932861328,131.13999938964844,128.10000610351562,128.38999938964844,82.96678161621094,5760000,SPY
2001-02-21,127.9000015258789,128.83999633789062,125.5,125.62000274658203,81.17675018310547,10910800,SPY
2001-02-22,126.3499984741211,126.54000091552734,123.0199966430664,125.80999755859375,81.2995376586914,21281600,SPY
2001-02-23,125.08000183105469,125.54000091552734,121.80000305175781,124.95999908447266,80.75027465820312,20173000,SPY
2001-02-26,125.80000305175781,127.62000274658203,124.5,127.62000274658203,82.4692153930664,11503700,SPY
2001-02-27,126.80000305175781,127.83999633789062,125.51000213623047,126.44000244140625,81.70665740966797,11415000,SPY
2001-02-28,126.75,126.83999633789062,123.2699966430664,123.94999694824219,80.09759521484375,14825800,SPY
2001-03-01,124.05000305175781,124.5999984741211,121.75,124.5999984741211,80.51763153076172,14672000,SPY
2001-03-02,122.5,125.6500015258789,122.30000305175781,123.61000061035156,79.87788391113281,12564300,SPY
2001-03-05,124.1500015258789,124.77999877929688,123.80999755859375,124.73999786376953,80.60807037353516,5293200,SPY
2001-03-06,126.3499984741211,127.75,125.48999786376953,126.08000183105469,81.4740219116211,6917000,SPY
2001-03-07,126.9000015258789,127.04000091552734,125.76000213623047,126.9800033569336,82.05561828613281,6371700,SPY
2001-03-08,126.5999984741211,127.23999786376953,126.13999938964844,127.12000274658203,82.14607238769531,6055000,SPY
2001-03-09,126.0999984741211,126.0999984741211,123.11000061035156,123.36000061035156,79.71631622314453,10020300,SPY
2001-03-12,122.33999633789062,122.5,117.75,118.08000183105469,76.30433654785156,13972900,SPY
2001-03-13,119.4000015258789,120.44000244140625,117.52999877929688,120.0199966430664,77.55796813964844,12888000,SPY
2001-03-14,117.05000305175781,119.29000091552734,115.75,117.6500015258789,76.02647399902344,19883400,SPY
2001-03-15,118.44999694824219,118.86000061035156,117.36000061035156,117.68000030517578,76.04584503173828,10370300,SPY
2001-03-16,117.12999725341797,117.4000015258789,114.80999755859375,115.01000213623047,74.52056884765625,58514600,SPY
2001-03-19,115.76000213623047,117.69000244140625,114.81999969482422,117.3499984741211,76.03677368164062,10067800,SPY
2001-03-20,117.9000015258789,118.45999908447266,114.11000061035156,114.19999694824219,73.9957504272461,15083900,SPY
2001-03-21,114.18000030517578,115.26000213623047,111.9000015258789,112.26000213623047,72.7387466430664,19004600,SPY
2001-03-22,112.0199966430664,112.5999984741211,108.04000091552734,111.12000274658203,72.00006103515625,28624800,SPY
2001-03-23,113.25,114.66000366210938,111.5,114.4800033569336,74.17715454101562,12861700,SPY
2001-03-26,115.69999694824219,116.2699966430664,114.7699966430664,115.94000244140625,75.12323760986328,9943800,SPY
2001-03-27,115.62000274658203,118.6500015258789,115.27999877929688,118.30999755859375,76.65882873535156,12880700,SPY
2001-03-28,116.9000015258789,116.94999694824219,114.9000015258789,115.04000091552734,74.54004669189453,10953300,SPY
2001-03-29,114.69999694824219,116.5,112.13999938964844,115.4800033569336,74.82512664794922,12060300,SPY
2001-03-30,115.55000305175781,116.69000244140625,114.5,116.69000244140625,75.60914611816406,9183600,SPY
2001-04-02,116.30000305175781,117.37999725341797,113.80000305175781,114.19999694824219,73.9957504272461,10561000,SPY
2001-04-03,113.9800033569336,114.1500015258789,110.05999755859375,110.38999938964844,71.52705383300781,12836000,SPY
2001-04-04,110.56999969482422,112.0999984741211,109.30000305175781,110.8499984741211,71.82510375976562,14884300,SPY
2001-04-05,113.30000305175781,115.48999786376953,112.5,115.05000305175781,74.54652404785156,21522800,SPY
2001-04-06,113.98999786376953,114.4000015258789,112.05999755859375,113.30000305175781,73.41255950927734,14937800,SPY
2001-04-09,114.0,114.98999786376953,112.77999877929688,114.55999755859375,74.22903442382812,9034300,SPY
2001-04-10,115.44999694824219,117.75,115.16999816894531,116.6500015258789,75.58321380615234,17873600,SPY
